"Source:","/home/jarin/storage/main/backup_mg/works/nvm/pcb/rnvm_lisa/rnvm_lisa.kicad_sch"
"Date:","Sat 14 May 2022 11:26:36 PM CEST"
"Tool:","Eeschema 6.0.5-a6ca702e91~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","50"

"Individual Components:"

"","","R14","3k9","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C3902","","","TME"
"","","R15","2k4","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C2402","","","TME"
"","","R16","2k4","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C2402","","","TME"
"","","R17","3k9","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C3902","","","TME"
"","","R18","3k9","Device:R","Resistor_SMD:R_MiniMELF_MMA-0204","~","MMA02040C3902","","","TME"
"","","U1","W5500_breakout","j_lib:W5500_bo","j_lib:W5500_bo","","","","W5500 breakout",""
"","","U2","75ALS160","j_lib:75160","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","","SN75ALS160DW","","","MOUSER"
"","","U3","AT90S4433","MCU_Microchip_ATmega:ATmega8A-A","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Microchip%208bit%20mcu%20AVR%20ATmega8A%20data%20sheet%2040001974A.pdf","AT90S4433","possible to use Atmega8","","NA"
"","","U4","74HCT08","74xx:74LS08","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","http://www.ti.com/lit/gpn/sn74LS08","74HCT08PW.112","","","TME"
"","","U5","75ALS161","j_lib:75161","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","","SN75ALS161DW ","","","MOUSER"
"","","U6","CH340G","Interface_USB:CH340G","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.datasheet5.com/pdf-local-2195953","CH340G","","","LCSC"
"","","Y1","7.3728MHz","Device:Crystal","Crystal:Crystal_SMD_HC49-SD","~","7.372M-SMDHC49S ","","","TME"
"","","Y2","12MHz","Device:Crystal","Crystal:Crystal_SMD_HC49-SD","~","12.00M-SMDHC49S","","","TME"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","PN","comment","link","supplier"
"1","1","C1","100u","Device:C_Polarized","Capacitor_Tantalum_SMD:CP_EIA-7132-28_AVX-C_Pad2.72x3.50mm_HandSolder","~","T491C107K010AT","","","TME"
"2","6","C2, C3, C6, C7, C8, C9","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","CL21B105KAFNNNG","","","TME"
"3","4","C4, C5, C11, C12","22p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","VJ0805A220JXACW1BC","","","TME"
"4","1","C10","470p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","VJ0805Y471KXACW1BC","","","TME"
"5","1","D1","BAV99","Diode:BAV99","Package_TO_SOT_SMD:SOT-23","https://assets.nexperia.com/documents/data-sheet/BAV99_SER.pdf","BAV99","","","TME"
"6","1","D2","SM6T6V8A","Diode:SM6T6V8A","Diode_SMD:D_SMB","https://www.st.com/resource/en/datasheet/sm6t.pdf","SM6T6V8A","","","TME"
"7","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~","","","DNP",""
"8","1","J1","Centronics 24, socket","Connector_Generic:Conn_02x12_Top_Bottom","j_lib:CENTR_24P_F","~","","","https://www.aliexpress.com/item/32795413098.html",""
